YearEffectiveFrom,YearEffectiveTo,DateEffectiveFrom,GeoJsonFile,StateNameFile,Event
1949,1952,1/07/1949,1915 States.json,1949 States.csv,Territory of New Guinea and Territory of Papua merged into Territory of Papua and New Guinea
1953,1954,24/04/1953,1915 States.json,1949 States.csv,Heard Island and McDonald Islands declared the Territory of Heard Island and McDonald Islands
1955,1957,23/11/1955,1915 States.json,1949 States.csv,"The Cocos (Keeling) Islands transferred by the UK from the Colony of Singapore, becoming the Territory of the Cocos (Keeling) Islands"
1958,1967,1/10/1958,1915 States.json,1949 States.csv,"Christmas Island transferred by the UK from the Colony of Singapore, becoming the Territory of Christmas Island"
1968,1968,31/01/1968,1915 States.json,1949 States.csv,The Trust Territory of Nauru becomes independent as the Republic of Nauru
1969,1970,30/09/1969,1915 States.json,1949 States.csv,The Coral Sea Islands Territory created from Queensland
1971,1972,27/12/1971,1915 States.json,1971 States.csv,Territory of Papua and New Guinea renamed Papua New Guinea would become independent 1975-09-16
1973,1974,31/12/1973,1915 States.json,1973 States.csv,Jervis Bay formally named Jervis Bay Territory to become its own territory 1989-05-11
1975,1977,16/09/1975,1915 States.json,1973 States.csv,"Papua New Guinea became independent as the Independent State of Papua New Guinea, rendering a dispute of the Republic of the North Solomons declaring the indepdence of the region surrounding Bouganville Island earlier that year moot."
1978,1985,1/07/1978,1915 States.json,1973 States.csv,The Ashmore and Cartier Islands split from the Northern Territory and becomes the Territory of Ashmore and Cartier Islands
1986,1988,3/03/1986,1915 States.json,1973 States.csv,"The Australia Act 1986 made Australia independent of the United Kingdom, other than still being a monarchy with the crown still the titular head."
1989,1996,11/05/1989,1915 States.json,1973 States.csv,Jervis Bay Territory split from the Australian Capital Territory to become its own territory
1997,2021,7/07/1997,1915 States.json,1973 States.csv,Elizabeth Reef and Middleton Reef transferred from New South Wales to the Coral Sea Islands Territory
2022,2025,,1915 States.json,1973 States.csv,A change of border encompassing 330 hectares between ACT and NSW was proposed.
